дріб'язковий	-1.0	i
дрібниця	-0.11	i
другорядний	-0.25	i
другосортний	-1.33	i
думка	-0.11	i
дупа	-1.67	i
дурацький	-1.33	a
дурість	-1.67	i
дурість	-1.0	i
дурний	-1.56	a
дурник	-1.2	a
дурниця	-0.83	i
дурнуватий	-1.0	a
душити	-1.33	a
евакуація	-0.33	f
евакуювати	-0.33	f
евтаназія	-0.33	s
его	-0.33	i
егоїстичний	-1.33	i
егоцентричний	-0.83	i
екзаменаційний	-0.11	i
еколог	-0.33	i
економити	-0.56	s
економія	-0.33	i
екранний	-0.11	i
експансія	-0.67	a
експеримент	-0.2	i
експлуатувати	-1.0	a
експресивний	-1.0	i
експропріація	-1.25	a
екстенсивний	-0.4	i
екстравагантний	-1.0	i
екстремізм	-1.22	f
екстремістський	-0.67	f
ембарго	-0.67	i
енцефаліт	-0.33	s
епіцентр	-0.33	i
епопея	-0.22	i
еротичний	-1.0	i
ефемерний	-0.67	i
єдиний	-0.11	i
єресь	-1.0	i
єхидний	-1.67	a
жадати	-0.33	i
жадібний	-1.33	i
жадібність	-1.0	i
жалити	-0.67	a
жахати	-1.11	f
жахатися	-1.33	f
жахливий	-2.0	f
жахливо	-2.0	f
жебрак	-0.75	s
женевський	-0.22	i
жертва	-1.67	f
жертвувати	-0.67	i
жесть	-0.33	i
жид	-0.67	i
жидівський	-1.22	i
жінка	-0.33	i
жовчний	-0.6	i
жопа	-1.67	a
жорсткість	-0.2	i
жорстокий	-2.0	a
жорстокість	-1.5	a
жура	-1.33	s
з'єднання	-0.67	i
з'ясовувати	-0.33	i
заарештований	-1.0	i
забагато	-0.33	i
забивати	-1.0	a
заблудлий	-1.0	i
заблукати	-0.67	i
заборгованість	-0.67	i
заборонний	-1.33	i
забороняти	-1.0	i
заборонятися	-0.67	i
забруднення	-0.8	s
завалювати	-0.33	i
завербовувати	-0.67	i
завзятий	-1.33	i
завзятий	-0.67	i
завзято	-0.33	i
завивання	-0.78	i
завивати	-0.67	i
завідомий	-0.33	i
завод	-125.0	i
завоювання	-0.17	a
загадка	-0.17	i
загальноєвропейський	-0.33	i
загарбник	-1.33	a
загибель	-1.0	s
загинути	-2.0	s
загострення	-1.0	f
загострюватися	-0.83	f
загробний	-0.33	i
загрожувати	-1.67	f
загроза	-1.25	f
загубити	-1.0	i
задавлювати	-0.6	a
задача	-0.11	i
задушити	-1.0	a
зажертися	-1.6	i
заздрісний	-1.22	i
заздрість	-1.33	i
зайвий	-0.67	i
зайобувати	-2.0	a
закидати	-0.33	i
заклопотаність	-1.0	i
заколот	-0.33	i
закомплексований	-1.0	s
законодавець	-0.17	i
закоренілий	-0.22	i
закрадатися	-0.2	i
залежати	-0.5	i
залучення	-0.33	i
залякування	-1.33	f
заляпувати	-0.33	i
замах	-1.44	a
замикати	-0.67	i
замінний	-0.2	i
замкнутий	-1.0	i
замовчувати	-1.11	f
заможний	-0.33	i
заморожувати	-0.17	i
заморочуватися	-1.33	i
занадто	-0.33	i
занепад	-1.33	s
занепадницький	-1.33	i
занепокоєння	-1.33	i
занудний	-1.0	i
занудьгувати	-1.0	i
запалення	-0.89	i
запаморочливий	-0.67	i
запах	-0.11	i
запеклий	-1.33	i
заперечення	-0.5	i
заперечувати	-0.75	i
запідозрювати	-1.0	i
запізнення	-0.67	i
заплутувати	-1.0	i
запобігання	-0.2	i
заподіювати	-0.33	i
заподіяння	-0.33	i
запорошений	-0.33	i
запускати	-0.33	i
заражати	-0.67	i
заражатися	-1.0	i
зараження	-1.22	f
зараза	-1.6	a
заривати	-0.33	i
зарізати	-1.5	a
заробіток	-0.33	i
заробітчанин	-1.0	i
заробляти	-0.33	i
заручник	-1.33	f
засвічуватись	-1.0	i
засідка	-0.78	i
засмоктувати	-0.33	i
засмучувати	-1.0	s
засмучуватися	-1.25	s
застарівати	-1.0	i
застарілий	-1.33	i
застереження	-1.25	f
застійний	-1.0	i
застосовуватися	-0.11	i
застосування	-0.33	i
застрелюватися	-1.33	s
застрявати	-0.33	i
засуджувати	-0.67	i
затівати	-0.17	i
затоплення	-1.0	i
затоплювати	-0.67	i
затрачувати	-0.2	i
затримання	-0.22	i
затримувати	-0.33	i
затягувати	-0.33	i
затягуватися	-0.67	i
затяжний	-0.33	i
затятий	-0.33	i
зауваження	-0.67	i
захворювання	-1.0	i
заховати	-0.67	i
захоплений	-0.33	i
захоплення	-1.0	i
захоплювати	-1.33	a
зациклюватися	-1.0	i
зашкалювати	-0.67	i
зашкарублий	-1.0	i
збанкрутувати	-1.4	s
збитковий	-1.33	i
збиток	-1.25	i
збільшення	-0.33	i
збори	-0.33	i
збочення	-1.25	a
збочувати	-1.33	a
зброя	-0.83	a
збувати	-0.33	i
збудник	-0.78	i
звалювати	-1.25	i
звалюватися	-1.0	i
звинувачення	-0.75	i
звинувачувати	-1.25	i
звільнення	-1.0	i
звільняти	-0.67	i
звільнятися	-0.33	i
звіріти	-1.33	a
звірство	-2.0	a
звітувати	-0.67	i
зволікати	-0.67	i
згвалтування	-2.0	a
згвалтувати	-2.0	a
зграя	-1.33	i
згубний	-1.33	s
здирство	-1.33	i
здійснювати	-0.11	i
здогадуватися	-0.33	i
здорожчати	-0.67	i
здохнути	-2.0	a
здригатися	-0.33	i
зек	-0.67	a
зелений	-0.11	i
зіпсувати	-1.33	i
зіпсуватися	-1.0	i
зіткнення	-1.0	i
злазити	-0.33	i
зламатися	-0.67	i
зламувати	-1.0	i
зле	-1.0	i
зливати	-1.0	i
злидні	-1.33	s
злий	-1.33	a
злитися	-1.0	a
злісний	-2.0	a
злість	-1.5	a
зло	-1.33	f
злободенний	-0.33	i
зловживання	-1.67	i
зловмисний	-1.33	a
зловмисник	-2.0	a
злодіяння	-1.67	a
злом	-0.67	a
злопам'ятний	-1.22	a
злорадний	-1.33	a
